grid_id,yolcu_per_stop_weekday,sefer_per_stop_weekday,kapasite_per_stop_weekday,doluluk_orani_weekday,kapasite_kullanimi_weekday,stop_count_weekday,yolcu_per_stop_weekend,sefer_per_stop_weekend,kapasite_per_stop_weekend,doluluk_orani_weekend,kapasite_kullanimi_weekend,stop_count_weekend,util_change,high_weekend_variance
39.5045_32.8235,0.12314556734400284,0.004257970046497268,0.5885118298353328,21.0,20.960106720226346,4.024096385542169,0.07736371447665717,0.002736848805015397,0.3853865003341501,20.34328358208955,20.32871357498223,4.0,0.6313931452441146,False
39.5045_32.8941,0.20980669793549853,0.005262392697758448,0.7357994412065892,28.572289156626507,28.557315170483303,1.0060240963855422,0.09872985544470717,0.0026937714366258164,0.37712800112762523,26.26865671641791,26.258884150675197,1.0,2.298431019808106,False
39.5045_32.9529,0.029177879028805538,0.0010121705094489248,0.14246223472570477,20.5,20.496189828438176,2.0120481927710845,0.029782559284794265,0.0010228047579361687,0.14319266611106896,21.059701492537314,21.103411513859275,2.0,0.6072216854210986,False
39.5135_32.5647,0.10889198632883353,0.0031027437801920323,0.4347182708647586,25.042168674698797,25.01606425702811,4.024096385542169,0.034534143860728006,0.0015729592922865598,0.22021430092012206,15.776119402985074,15.767590618336886,4.0,9.248473638691223,False
39.5135_32.8353,0.18471835101600428,0.006386955069745909,0.8827677447529992,21.0,20.960106720226346,1.0060240963855422,0.11604557171498578,0.0041052732075231,0.5780797505012252,20.34328358208955,20.328713574982235,1.0,0.631393145244111,False
39.5135_32.8588,0.3147100469032478,0.00789358904663772,1.103699161809884,28.572289156626507,28.557315170483303,1.0060240963855422,0.1480947831670608,0.0040406571549387775,0.5656920016914379,26.26865671641791,26.258884150675197,1.0,2.298431019808106,False
39.5135_32.9412,0.043766818543208325,0.0015182557641734336,0.21369335208855728,20.5,20.496189828438176,4.024096385542169,0.04467383892719141,0.0015342071369042968,0.21478899916660354,21.059701492537314,21.103411513859275,4.0,0.6072216854210986,False
39.5135_32.9765,0.029177879028805538,0.0010121705094489248,0.14246223472570477,20.5,20.496189828438176,2.0120481927710845,0.029782559284794265,0.0010228047579361687,0.14319266611106896,21.059701492537314,21.103411513859275,2.0,0.6072216854210986,False
39.5225_32.6471,0.31353013464793916,0.009756840412797535,1.3643993965279106,23.042168674698797,23.054534485476342,2.0120481927710845,0.20930620267270347,0.00787069941298791,1.1043547693630613,18.925373134328357,18.937868668498606,2.0,4.116665816977736,False
39.5225_32.8,0.10669331076544657,0.0020742558591027656,0.29094581936368547,35.42168674698795,36.506734884068074,2.0120481927710845,0.057991222829724944,0.0015026162488744879,0.2124652725710233,25.723880597014926,26.546804959510986,2.0,9.959929924557088,False
39.5225_32.8353,0.12314556734400284,0.004257970046497268,0.5885118298353328,21.0,20.960106720226346,1.0060240963855422,0.07736371447665717,0.002736848805015397,0.3853865003341501,20.34328358208955,20.32871357498223,1.0,0.6313931452441146,False
39.5225_32.8588,0.3147100469032478,0.00789358904663772,1.103699161809884,28.572289156626507,28.557315170483303,1.0060240963855422,0.1480947831670608,0.0040406571549387775,0.5656920016914379,26.26865671641791,26.258884150675197,1.0,2.298431019808106,False
39.5225_32.8706,0.1486701675109576,0.004149452113052621,0.5815930726918519,22.518072289156628,25.60618515110706,4.024096385542169,0.09403876664954502,0.0028810928552172135,0.40335299973041616,22.361940298507463,23.336909101322608,4.0,2.2692760497844517,False
39.5225_32.8941,0.029177879028805538,0.0010121705094489248,0.14246223472570477,20.5,20.496189828438176,4.024096385542169,0.029782559284794265,0.0010228047579361687,0.14319266611106896,21.059701492537314,21.103411513859275,4.0,0.6072216854210986,False
39.5225_32.9059,0.048629798381342584,0.001686950849081541,0.23743705787617472,20.5,20.496189828438176,6.036144578313253,0.04963759880799047,0.0017046745965602805,0.23865444351844833,21.059701492537314,21.103411513859278,6.0,0.6072216854211021,False
39.5225_32.9294,0.05835575805761112,0.002024341018897852,0.28492446945140965,20.5,20.496189828438176,2.0120481927710845,0.05956511856958856,0.002045609515872342,0.286385332222138,21.059701492537314,21.103411513859275,2.0,0.6072216854210986,False
39.5225_33.0,0.029177879028805538,0.0010121705094489248,0.14246223472570477,20.5,20.496189828438176,2.0120481927710845,0.029782559284794265,0.0010228047579361687,0.14319266611106896,21.059701492537314,21.103411513859275,2.0,0.6072216854210986,False
39.5315_32.6,0.6336331814651591,0.01928937628948446,2.698676501089004,24.042168674698797,23.511818659761897,8.048192771084338,0.3657605198001473,0.014165488057911794,1.9868536054247747,17.350746268656717,18.40256677015501,8.0,5.109251889606888,False
39.5315_32.6118,0.6148035904759108,0.01872863888497344,2.62018961258541,23.983345145287032,23.49768933587266,17.102409638554217,0.35655732467500356,0.013795206372916266,1.9349419091858504,17.44337137840211,18.420447150149247,17.0,5.077242185723414,False
39.5315_32.6353,0.6336331814651591,0.01928937628948446,2.698676501089004,24.042168674698797,23.511818659761897,2.0120481927710845,0.3657605198001473,0.014165488057911794,1.9868536054247747,17.350746268656717,18.40256677015501,2.0,5.109251889606888,False
39.5315_32.8,0.10669331076544657,0.0020742558591027656,0.29094581936368547,35.42168674698795,36.506734884068074,4.024096385542169,0.057991222829724944,0.0015026162488744879,0.2124652725710233,25.723880597014926,26.546804959510986,4.0,9.959929924557088,False
39.5315_32.8588,0.15393195918000355,0.005322462558121542,0.735639787294166,21.0,20.960106720226346,2.0120481927710845,0.09670464309582148,0.003421061006269248,0.4817331254176877,20.34328358208955,20.328713574982235,2.0,0.631393145244111,False
39.5315_32.8706,0.029177879028805538,0.0010121705094489248,0.14246223472570477,20.5,20.496189828438176,2.0120481927710845,0.029782559284794265,0.0010228047579361687,0.14319266611106896,21.059701492537314,21.103411513859275,2.0,0.6072216854210986,False
39.5315_32.8941,0.05835575805761112,0.002024341018897852,0.28492446945140965,20.5,20.496189828438176,4.024096385542169,0.05956511856958856,0.002045609515872342,0.286385332222138,21.059701492537314,21.103411513859275,4.0,0.6072216854210986,False
39.5405_32.6118,0.6336331814651591,0.01928937628948446,2.698676501089004,24.042168674698797,23.511818659761897,2.0120481927710845,0.3657605198001473,0.014165488057911794,1.9868536054247747,17.350746268656717,18.40256677015501,2.0,5.109251889606888,False
39.5405_32.6235,0.6336331814651591,0.01928937628948446,2.698676501089004,24.042168674698797,23.511818659761897,4.024096385542169,0.3657605198001473,0.014165488057911794,1.9868536054247747,17.350746268656717,18.40256677015501,4.0,5.109251889606888,False
39.5405_32.8471,0.6773006203920159,0.023418835255735,3.2368150640943303,21.0,20.960106720226346,1.0060240963855422,0.4255004296216148,0.015052668427584794,2.1196257518378263,20.34328358208955,20.328713574982235,1.0,0.631393145244111,False
39.5405_32.8588,0.45952089689512454,0.012402664755950314,1.7290328944880307,24.78614457831325,26.599363993776063,2.0120481927710845,0.2308000328857305,0.0067667366178568306,0.9490138772239568,23.30597014925373,24.337488737512174,2.0,2.261875256263888,False
39.5405_32.9294,0.20980669793549853,0.005262392697758448,0.7357994412065892,28.572289156626507,28.557315170483303,3.0180722891566263,0.09872985544470718,0.0026937714366258164,0.37712800112762523,26.26865671641791,26.258884150675197,3.0,2.298431019808106,False
39.5405_33.0118,0.02917787902880553,0.0010121705094489248,0.14246223472570477,20.5,20.496189828438176,13.078313253012048,0.029782559284794258,0.0010228047579361687,0.14319266611106896,21.059701492537314,21.103411513859275,13.0,0.6072216854210986,False
39.5405_33.0235,0.029177879028805538,0.0010121705094489248,0.14246223472570477,20.5,20.496189828438176,4.024096385542169,0.029782559284794265,0.0010228047579361687,0.14319266611106896,21.059701492537314,21.103411513859275,4.0,0.6072216854210986,False
39.5495_32.5882,0.31353013464793916,0.009756840412797535,1.3643993965279106,23.042168674698797,23.054534485476342,1.0060240963855422,0.20930620267270347,0.00787069941298791,1.1043547693630613,18.925373134328357,18.937868668498606,1.0,4.116665816977736,False
39.5495_32.6941,0.06695490778187216,0.0015003971837407384,0.21090621475634658,33.61746987951807,31.7515196294671,10.060240963855422,0.04512420037330054,0.0010160870145187535,0.14330326464772358,31.402985074626866,31.463433438168344,10.0,0.28808619129875623,False
39.5495_32.8,0.38655652242319355,0.00711535241921975,0.9950520313297387,38.346385542168676,38.31658001667939,3.0180722891566263,0.229263026904653,0.0059046805150540045,0.8385495925695479,26.253731343283583,26.23134328358209,3.0,12.0852367330973,False
39.5495_32.8118,0.0640417941403608,0.00147847443295724,0.2080143134406587,30.8925702811245,30.407982888606064,3.0180722891566263,0.031824576857170765,0.0007976545869760807,0.11167164217665485,26.80099502487562,28.761763364866106,3.0,1.6462195237399584,False
39.5495_32.8471,0.18471835101600428,0.006386955069745909,0.8827677447529992,21.0,20.960106720226342,5.030120481927711,0.11604557171498578,0.0041052732075231,0.5780797505012253,20.34328358208955,20.32871357498223,5.0,0.631393145244111,False
39.5495_32.8588,0.26260091125925017,0.009109534585040619,1.2821601125313438,20.5,20.496189828438176,2.0120481927710845,0.2680430335631487,0.009205242821425815,1.2887339949996213,21.059701492537314,21.103411513859275,2.0,0.6072216854210986,False
39.5495_32.8706,0.05700342353018628,0.0021594575021396303,0.3021133715188623,18.876506024096386,18.864293579849353,1.0060240963855422,0.06171648987463833,0.0021857923497267,0.3060109289617486,20.235294117647058,20.168067226890756,1.0,1.3037736470414032,False
39.5495_32.9059,0.3147100469032478,0.00789358904663772,1.103699161809884,28.572289156626507,28.557315170483303,1.0060240963855422,0.1480947831670608,0.0040406571549387775,0.5656920016914379,26.26865671641791,26.258884150675197,1.0,2.298431019808106,False
39.5495_33.0118,0.029177879028805538,0.0010121705094489248,0.14246223472570477,20.5,20.496189828438176,2.0120481927710845,0.029782559284794265,0.0010228047579361687,0.14319266611106896,21.059701492537314,21.103411513859275,2.0,0.6072216854210986,False
39.5495_33.1176,2.7512191592245587,0.05704955355680657,8.829648849279067,33.6355421686747,32.33744240234502,16.096385542168676,2.26269481968584,0.055734746073346955,8.731871788823472,25.776119402985074,27.001429893517766,16.0,5.3360125088272525,False
39.5586_32.7412,0.20025878160529442,0.0035741557780416666,0.5033514339046326,39.55120481927711,39.60413080895009,2.0120481927710845,0.1658082825310069,0.003573680891317981,0.5076729030901829,32.791044776119406,32.76652452025587,2.0,6.837606288694218,False
39.5586_32.8,0.21766789878461593,0.00512382531114434,0.7206505958566798,30.09036144578313,29.925141821018585,6.036144578313253,0.1104159760270288,0.002737495770839628,0.3832494079175541,27.604477611940297,29.04621954519074,6.0,0.8789222758278434,False
39.5586_32.8588,0.17671061294357757,0.006694318256633085,0.9365514517084733,18.876506024096386,18.864293579849353,5.030120481927711,0.19132111861137896,0.006775956284153,0.9486338797814208,20.235294117647058,20.168067226890756,5.0,1.3037736470414032,False
39.5586_32.9059,0.20980669793549853,0.005262392697758448,0.7357994412065892,28.572289156626507,28.557315170483303,2.0120481927710845,0.09872985544470717,0.0026937714366258164,0.37712800112762523,26.26865671641791,26.258884150675197,2.0,2.298431019808106,False
39.5586_33.1059,2.87083738353867,0.059529968928841624,9.21354662533468,33.6355421686747,32.33744240234502,8.048192771084338,2.361072855324355,0.05815799590262295,9.111518388337537,25.776119402985074,27.001429893517766,8.0,5.3360125088272525,False
