lat,lon,stop_count,total_passengers,avg_occupancy,center_lat,center_lon
39.5009009009009,32.57411764705882,2,0.0,0.0,39.50135135135135,32.57470588235294
39.50630630630631,32.89411764705882,2,170.19230769230768,13.961538461538462,39.50675675675676,32.89470588235294
39.51081081081081,32.832941176470584,8,414.15384615384613,10.41025641025641,39.51126126126126,32.8335294117647
39.51081081081081,32.95411764705882,2,115.94017094017094,20.666666666666668,39.51126126126126,32.95470588235294
39.51441441441442,32.56823529411764,5,221.77777777777777,8.957264957264957,39.51486486486487,32.56882352941176
39.51441441441442,32.57176470588235,2,221.77777777777777,22.39316239316239,39.51486486486487,32.57235294117647
39.516216216216215,32.83882352941176,3,103.53846153846153,6.94017094017094,39.516666666666666,32.83941176470588
39.51981981981982,32.86941176470588,3,170.19230769230768,9.307692307692308,39.520270270270274,32.87
39.51981981981982,32.97882352941176,2,115.94017094017094,20.666666666666668,39.520270270270274,32.97941176470588
39.520720720720725,32.95176470588235,6,231.8803418803419,13.777777777777779,39.521171171171176,32.952352941176464
39.52252252252252,32.870588235294115,4,228.16239316239316,12.147435897435898,39.52297297297297,32.87117647058823
39.523423423423424,32.86588235294117,3,170.19230769230768,9.307692307692308,39.523873873873875,32.86647058823529
39.52522522522523,32.84117647058823,2,103.53846153846153,10.41025641025641,39.52567567567568,32.84176470588235
39.52522522522523,32.90941176470588,10,347.8205128205128,12.4,39.52567567567568,32.91
39.52612612612613,32.87176470588235,2,115.94017094017094,20.666666666666668,39.52657657657658,32.872352941176466
39.527027027027025,33.0,2,115.94017094017094,20.666666666666668,39.527477477477476,33.00058823529412
39.52882882882883,32.93764705882353,4,115.94017094017094,10.333333333333334,39.52927927927928,32.938235294117646
39.52972972972973,32.9,4,231.8803418803419,20.666666666666668,39.53018018018018,32.900588235294116
39.53063063063063,32.656470588235294,2,968.0940170940171,21.876068376068375,39.53108108108108,32.65705882352941
39.53063063063063,32.80117647058823,2,185.55128205128204,32.638888888888886,39.53108108108108,32.80176470588235
39.531531531531535,32.802352941176466,4,371.1025641025641,32.638888888888886,39.531981981981986,32.80294117647058
39.53243243243244,32.870588235294115,2,115.94017094017094,20.666666666666668,39.53288288288289,32.87117647058823
39.53243243243244,32.90117647058823,4,115.94017094017094,10.333333333333334,39.53288288288289,32.90176470588235
39.53333333333333,32.63647058823529,3,594.9358974358975,14.756410256410255,39.53378378378378,32.63705882352941
39.53423423423423,32.904705882352935,4,115.94017094017094,10.333333333333334,39.534684684684684,32.90529411764705
39.53603603603604,32.60588235294117,3,594.9358974358975,14.756410256410255,39.53648648648649,32.60647058823529
39.53603603603604,32.616470588235295,3,594.9358974358975,14.756410256410255,39.53648648648649,32.61705882352941
39.53693693693694,32.60823529411764,6,1189.871794871795,14.756410256410255,39.53738738738739,32.60882352941176
39.53693693693694,32.61176470588235,7,1673.9188034188035,15.773504273504273,39.53738738738739,32.61235294117647
39.53783783783784,32.61058823529412,3,594.9358974358975,14.756410256410255,39.53828828828829,32.611176470588234
39.538738738738736,32.61411764705882,6,1189.871794871795,14.756410256410255,39.53918918918919,32.614705882352936
39.538738738738736,32.86,5,207.07692307692307,8.328205128205129,39.53918918918919,32.86058823529412
39.53963963963964,32.616470588235295,3,594.9358974358975,14.756410256410255,39.54009009009009,32.61705882352941
39.53963963963964,32.61882352941176,3,594.9358974358975,14.756410256410255,39.54009009009009,32.61941176470588
39.53963963963964,32.62,3,594.9358974358975,14.756410256410255,39.54009009009009,32.620588235294115
39.54054054054054,32.62470588235294,3,594.9358974358975,14.756410256410255,39.54099099099099,32.62529411764706
39.54054054054054,32.625882352941176,3,594.9358974358975,14.756410256410255,39.54099099099099,32.62647058823529
39.542342342342344,32.935294117647054,6,510.57692307692304,13.961538461538462,39.542792792792795,32.93588235294117
39.54414414414414,33.01882352941176,2,115.94017094017094,20.666666666666668,39.54459459459459,33.01941176470588
