grid_id,embedding_instability,grid_lat,grid_lon,regime_shift_embedding,cluster_switch_rate,regime_shift_clustering,regime_shift_consensus
39.5045_32.8235,0.2995213034046314,39.5045045045045,32.8235294117647,False,0.09482758620689655,False,False
39.5045_32.8941,0.34878045362858,39.5045045045045,32.89411764705882,False,0.23706896551724138,False,False
39.5045_32.9529,0.40934062250823583,39.5045045045045,32.95294117647059,False,0.12931034482758622,False,False
39.5135_32.5647,0.42617060054607314,39.51351351351352,32.56470588235294,False,0.25862068965517243,False,False
39.5135_32.8353,0.2995859835858521,39.51351351351352,32.83529411764706,False,0.09482758620689655,False,False
39.5135_32.8588,0.3488788290748537,39.51351351351352,32.858823529411765,False,0.23706896551724138,False,False
39.5135_32.9412,0.40919907657288285,39.51351351351352,32.94117647058823,False,0.12931034482758622,False,False
39.5135_32.9765,0.40934062250823583,39.51351351351352,32.976470588235294,False,0.12931034482758622,False,False
39.5225_32.6471,0.28075519574294,39.52252252252252,32.64705882352941,False,0.10344827586206896,False,False
39.5225_32.8,0.5412670817508546,39.52252252252252,32.8,False,0.31896551724137934,False,False
39.5225_32.8353,0.2995215099043496,39.52252252252252,32.83529411764706,False,0.09482758620689655,False,False
39.5225_32.8588,0.3488788290748537,39.52252252252252,32.858823529411765,False,0.23706896551724138,False,False
39.5225_32.8706,0.3093912050683311,39.52252252252252,32.870588235294115,False,0.3103448275862069,False,False
39.5225_32.8941,0.4091928790162624,39.52252252252252,32.89411764705882,False,0.12931034482758622,False,False
39.5225_32.9059,0.4090537211876047,39.52252252252252,32.90588235294118,False,0.12931034482758622,False,False
39.5225_32.9294,0.4093543357044504,39.52252252252252,32.92941176470588,False,0.12931034482758622,False,False
39.5225_33.0,0.40934062250823583,39.52252252252252,33.0,False,0.12931034482758622,False,False
39.5315_32.6,0.28896638167341765,39.531531531531535,32.6,False,0.12931034482758622,False,False
39.5315_32.6118,0.28736505109623056,39.531531531531535,32.61176470588235,False,0.16379310344827586,False,False
39.5315_32.6353,0.28858403343546846,39.531531531531535,32.63529411764706,False,0.1206896551724138,False,False
39.5315_32.8,0.5412671202609,39.531531531531535,32.8,False,0.3017241379310345,False,False
39.5315_32.8588,0.29955098280748893,39.531531531531535,32.858823529411765,False,0.09482758620689655,False,False
