grid_id,grid_lat,grid_lon,yolcu_per_stop,sefer_per_stop,kapasite_per_stop,doluluk_orani,kapasite_kullanimi,stop_count,in_capacity_util_tail,in_passenger_tail,lisa_quadrant,lisa_pvalue,lisa_significant
39.5045_32.8235,39.5045045045045,32.8235294117647,0.10998082853665452,0.003820566084354412,0.5301024003221171,20.811158798283262,20.778547317945854,4.017167381974249,False,False,3,0.006,True
39.5045_32.8941,39.5045045045045,32.89411764705882,0.17786614666132244,0.004523776283613013,0.6326621601538399,27.909871244635195,27.896392945903287,1.0042918454935623,False,False,3,0.003,True
39.5045_32.9529,39.5045045045045,32.95294117647059,0.02935175704233019,0.0010152284263959005,0.1426722729352301,20.660944206008583,20.670798639267417,2.0085836909871246,False,True,3,0.003,True
39.5135_32.5647,39.51351351351352,32.56470588235294,0.08751011746461433,0.002662848669935952,0.3730368717819661,22.377682403433475,22.356631923155525,4.017167381974249,False,True,3,0.003,True
39.5135_32.8353,39.51351351351352,32.83529411764706,0.1649712428049818,0.005730849126531625,0.7951536004831757,20.811158798283262,20.778547317945847,1.0042918454935623,False,False,3,0.003,True
39.5135_32.8588,39.51351351351352,32.858823529411765,0.26679921999198375,0.006785664425419569,0.9489932402307599,27.909871244635195,27.89639294590329,1.0042918454935623,False,False,3,0.003,True
39.5135_32.9412,39.51351351351352,32.94117647058823,0.04402763556349531,0.0015228426395938965,0.21400840940284527,20.660944206008583,20.670798639267417,4.017167381974249,False,True,3,0.003,True
39.5135_32.9765,39.51351351351352,32.976470588235294,0.02935175704233019,0.0010152284263959005,0.1426722729352301,20.660944206008583,20.670798639267417,2.0085836909871246,False,True,3,0.001,True
39.5225_32.6471,39.52252252252252,32.64705882352941,0.28356016279239926,0.00921447368753039,1.289622615326001,21.858369098712448,21.870772211924805,2.0085836909871246,False,False,3,0.003,True
39.5225_32.8,39.52252252252252,32.8,0.09268884771096868,0.001909878803801072,0.26837845183103154,32.63304721030043,33.642720699753376,2.0085836909871246,False,True,3,0.015,True
39.5225_32.8353,39.52252252252252,32.83529411764706,0.10998082853665452,0.003820566084354412,0.5301024003221171,20.811158798283262,20.778547317945854,1.0042918454935623,False,False,3,0.004,True
39.5225_32.8588,39.52252252252252,32.858823529411765,0.26679921999198375,0.006785664425419569,0.9489932402307599,27.909871244635195,27.89639294590329,1.0042918454935623,False,False,3,0.004,True
39.5225_32.8706,39.52252252252252,32.870588235294115,0.13296070889415657,0.003784730781400379,0.5303394894797653,22.473175965665234,24.95364654451668,4.017167381974249,False,False,3,0.004,True
39.5225_32.8941,39.52252252252252,32.89411764705882,0.02935175704233019,0.0010152284263959005,0.1426722729352301,20.660944206008583,20.670798639267417,4.017167381974249,False,True,3,0.004,True
39.5225_32.9059,39.52252252252252,32.90588235294118,0.04891959507055034,0.0016920473773265005,0.2377871215587169,20.660944206008583,20.670798639267417,6.0257510729613735,False,True,3,0.004,True
39.5225_32.9294,39.52252252252252,32.92941176470588,0.05870351408466042,0.002030456852791804,0.2853445458704603,20.660944206008583,20.670798639267417,2.0085836909871246,False,True,3,0.004,True
39.5225_33.0,39.52252252252252,33.0,0.02935175704233019,0.0010152284263959005,0.1426722729352301,20.660944206008583,20.670798639267417,2.0085836909871246,False,True,3,0.001,True
39.5315_32.6,39.531531531531535,32.6,0.5566054203855205,0.017815983536199616,2.493989230661951,22.11802575107296,22.04263464000369,8.034334763948499,False,False,3,0.004,True
39.5315_32.6118,39.531531531531535,32.61176470588235,0.5405439346447487,0.017310012368630823,2.423144135642189,22.102751830345873,22.037709823239748,17.07296137339056,False,False,3,0.004,True
