grid_id,grid_lat_x,grid_lon_x,stop_count,yolcu_per_stop,sefer_per_stop,kapasite_per_stop,doluluk_orani,kapasite_kullanimi,reconstruction_error,anomaly_autoencoder,anomaly_score_if,anomaly_isolation_forest,lof_score,anomaly_lof,graph_anomaly_score,anomaly_graph,anomaly_count,anomaly_consensus,embedding_instability,grid_lat_y,grid_lon_y,regime_shift_embedding,cluster_switch_rate,regime_shift_clustering,regime_shift_consensus,critical_grid
39.5045_32.8235,39.5045045045045,32.8235294117647,4.017167381974249,0.10998082853665452,0.003820566084354412,0.5301024003221171,20.811158798283262,20.778547317945854,0.0009586301937106016,False,-0.40027595939023475,False,-0.9982990377882555,False,0.07047904501209824,False,0,False,0.2995213034046314,39.5045045045045,32.8235294117647,False,0.09482758620689655,False,False,False
39.5045_32.8941,39.5045045045045,32.89411764705882,1.0042918454935623,0.17786614666132244,0.004523776283613013,0.6326621601538399,27.909871244635195,27.896392945903287,0.0008006818074703125,False,-0.3825125667797733,False,-0.9905735999767827,False,61.016353915953815,True,1,False,0.34878045362858,39.5045045045045,32.89411764705882,False,0.23706896551724138,False,False,False
39.5045_32.9529,39.5045045045045,32.95294117647059,2.0085836909871246,0.02935175704233019,0.0010152284263959005,0.1426722729352301,20.660944206008583,20.670798639267417,0.0010873683790121474,False,-0.4002222032494479,False,-0.9719877571611896,False,0.04678227662873542,False,0,False,0.40934062250823583,39.5045045045045,32.95294117647059,False,0.12931034482758622,False,False,False
39.5135_32.5647,39.51351351351352,32.56470588235294,4.017167381974249,0.08751011746461433,0.002662848669935952,0.3730368717819661,22.377682403433475,22.356631923155525,0.0009478730101954071,False,-0.3968620157060401,False,-1.0055843267634397,False,61.016353915953815,True,1,False,0.42617060054607314,39.51351351351352,32.56470588235294,False,0.25862068965517243,False,False,False
39.5135_32.8353,39.51351351351352,32.83529411764706,1.0042918454935623,0.1649712428049818,0.005730849126531625,0.7951536004831757,20.811158798283262,20.778547317945847,0.0008997736382114848,False,-0.3937159549711028,False,-0.9801267053387402,False,0.03578054605729028,False,0,False,0.2995859835858521,39.51351351351352,32.83529411764706,False,0.09482758620689655,False,False,False
39.5135_32.8588,39.51351351351352,32.858823529411765,1.0042918454935623,0.26679921999198375,0.006785664425419569,0.9489932402307599,27.909871244635195,27.89639294590329,0.0007381462125991986,False,-0.3822504053733521,False,-0.9910940225497408,False,0.21299846431790842,False,0,False,0.3488788290748537,39.51351351351352,32.858823529411765,False,0.23706896551724138,False,False,False
39.5135_32.9412,39.51351351351352,32.94117647058823,4.017167381974249,0.04402763556349531,0.0015228426395938965,0.21400840940284527,20.660944206008583,20.670798639267417,0.0010635045928994414,False,-0.4046187734072864,False,-0.9982990377882557,False,0.04674310127532477,False,0,False,0.40919907657288285,39.51351351351352,32.94117647058823,False,0.12931034482758622,False,False,False
39.5135_32.9765,39.51351351351352,32.976470588235294,2.0085836909871246,0.02935175704233019,0.0010152284263959005,0.1426722729352301,20.660944206008583,20.670798639267417,0.0010873683790121474,False,-0.4002222032494479,False,-0.9719877571611896,False,61.016353915953815,True,1,False,0.40934062250823583,39.51351351351352,32.976470588235294,False,0.12931034482758622,False,False,False
39.5225_32.6471,39.52252252252252,32.64705882352941,2.0085836909871246,0.28356016279239926,0.00921447368753039,1.289622615326001,21.858369098712448,21.870772211924805,0.0007582500611123699,False,-0.39170454943375743,False,-1.0554784099114891,False,0.03868820862683415,False,0,False,0.28075519574294,39.52252252252252,32.64705882352941,False,0.10344827586206896,False,False,False
39.5225_32.8,39.52252252252252,32.8,2.0085836909871246,0.09268884771096868,0.001909878803801072,0.26837845183103154,32.63304721030043,33.642720699753376,0.0008942428815665232,False,-0.39034908085994285,False,-2.8787109488839917,True,0.04674310127532477,False,1,False,0.5412670817508546,39.52252252252252,32.8,False,0.31896551724137934,False,False,False
