osm_id,name,lat,lon,railway,station,line,network,operator
9261381512,Meteoroloji,39.9663951,32.8639206,station,subway,,M4,
9261381513,Belediye,39.9779993,32.8682013,station,subway,,M4,
9261381514,Mecidiye,39.9837526,32.8752968,station,subway,,M4,
9261381515,Kuyubaşı,39.9903649,32.8753538,station,subway,,M4,
9261381516,Dutluk,39.9997261,32.8703472,station,subway,,M4,EGO
9747501490,Ankara,39.9359609,32.8434244,station,,,Türkiye Cumhuriyeti Devlet Demiryolları,TCDD Taşımacılık
9828505028,Abidin Paşa,39.9296829,32.8883747,proposed,subway,,A2,EGO Genel Müdürlüğü
9828505047,Aşık Veysel,39.9258988,32.8963022,proposed,subway,,A2,EGO Genel Müdürlüğü
9828505072,Tuzluçayır,39.9235402,32.903569,proposed,subway,,A2,EGO Genel Müdürlüğü
9828505087,General Zeki Doğan,39.9176302,32.9109723,proposed,subway,,A2,EGO Genel Müdürlüğü
9828505134,Fahri Korutürk,39.911671,32.9160858,proposed,subway,,A2,EGO Genel Müdürlüğü
9828505162,Cengizhan,39.901201,32.9190449,proposed,subway,,A2,EGO Genel Müdürlüğü
9828505200,Akşemsettin,39.8958446,32.9241966,proposed,subway,,A2,EGO Genel Müdürlüğü
9828505218,Natoyolu,39.8919347,32.9344054,proposed,subway,,A2,EGO Genel Müdürlüğü
9834000455,Sanatoryum,40.003552,32.8534592,proposed,subway,,M4,
9834000456,Ufuktepe,40.0145969,32.8583083,proposed,subway,,M4,
9834000470,Forum,40.0150163,32.8347019,proposed,subway,,M4,
9834000472,Ovacık,40.0194026,32.8476036,proposed,subway,,M4,
9834000947,Esat,39.9093237,32.8597262,proposed,subway,,M5,
9834000948,Kuğulu,39.9018111,32.8598307,proposed,subway,,M5,
9834000950,Dikmen Vadisi,39.8967841,32.844129,proposed,subway,,M5,
9834000951,Öveçler,39.8862183,32.8253992,proposed,subway,,M5,
9834000952,Dikmen,39.8818995,32.8365507,proposed,subway,,M5,
9834000953,Malazgirt,39.8726283,32.8312733,proposed,subway,,M5,
9834000954,Keklik Pınarı,39.8681102,32.8219144,proposed,subway,,M5,
9834000955,Akpınar,39.8585287,32.8150023,proposed,subway,,M5,
9836027180,Gar,39.9339453,32.8425824,station,subway,,Ankara Metrosu,
9836027181,Adliye,39.9305582,32.850394,station,subway,,Ankara Metrosu,
9838414554,Konutkent,39.8785728,32.6754636,proposed,subway,,M2,
9838414555,Yaşamkent Giriş,39.8726683,32.6479606,proposed,subway,,M2,
9838414556,Yaşamkent Merkez,39.8608447,32.6439758,proposed,subway,,M2,
9838414568,Başkent Üniversitesi,39.8838872,32.6575775,proposed,subway,,M2,
9838414569,Bağlıca,39.8968362,32.6468463,proposed,subway,,M2,
10724418208,Çetin Emeç,39.8954111,32.8312655,proposed,subway,,M5,
11056845809,Ankara YHT Garı,39.9349345,32.843351,station,,,Türkiye Cumhuriyeti Devlet Demiryolları,TCDD Taşımacılık
12453188227,Şapka Devrimi,39.9710341,32.6092331,proposed,subway,,M2,
12453188232,Eryaman YHT,39.9551826,32.6302282,proposed,subway,,M2,
12453188237,Ahi Evran,39.9394841,32.6389754,proposed,subway,,M2,
12453188242,Alsancak,39.9300555,32.6547998,proposed,subway,,M2,
12453188247,Ahi Mesut,39.9102455,32.6494178,proposed,subway,,M2,
12748869525,İlkbahar Mahallesi,39.8565852,32.8527474,proposed,subway,,M5,
13246774221,YHT Gar,39.9338447,32.8421572,proposed,subway,,,
13246774222,Ankara Büyükşehir Belediyesi,39.940599,32.8365723,proposed,subway,,,
13246774223,Ankamall,39.9505488,32.8338472,proposed,subway,,,
13246774224,Etlik Şehir Hastanesi,39.9615335,32.82914,proposed,subway,,,
13246774225,Antares,39.9696006,32.8252009,proposed,subway,,,
13246774226,Etlik,39.9790201,32.8242736,proposed,subway,,,
13246774227,Ayvalı,39.9878474,32.8196778,proposed,subway,,,
13246774228,Ovacık,40.0042694,32.8236045,proposed,subway,,,
13246774229,Ankara Forum,40.0134651,32.826611,proposed,subway,,,
13368141522,Hastaneler İstasyonu,39.9309142,32.8590452,proposed,subway,,,
13368141523,Demirlibahçe İstasyonu,39.9412737,32.8853542,proposed,subway,,,
13368141524,Siteler İstasyonu,39.9608265,32.8967422,proposed,subway,,,
13368141525,Güneşevler-Solfasol İstasyonu,39.972845,32.8878696,proposed,subway,,,
13368141526,Kuyubaşı İstasyonu,39.9911233,32.876204,proposed,subway,,,
